candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2013,Efficient Estimation of Word Representations in Vector Space,"Tomas Mikolov, Kai Chen, G. Corrado, J. Dean",International Conference on Learning Representations,2013-01-16,34503,4335,350.12,"Representation, Self-Supervised, and Transfer Learning",metadata-ranked,machine-learning,We propose two novel model architectures for computing continuous vector representations of words from very large data sets.,"high citation signal (34,503); influential citation signal (4,335)","Transfer claims depend heavily on downstream task choice, data overlap, and evaluation protocol.; Contrastive and self-supervised methods can learn spurious shortcuts when augmentations or negatives are poorly matched.; Representation quality is hard to compare when model size, data scale, and training recipes differ.",https://www.semanticscholar.org/paper/f6b51c8753a871dc94ff32152c00c01e94f90f09,https://www.semanticscholar.org/paper/f6b51c8753a871dc94ff32152c00c01e94f90f09,,,1301.3781,,5959482,Computer Science,JournalArticle,neural networks,1,citations=34503; influential=4335; open PDF metadata; AI term matches=2,"We propose two novel model architectures for computing continuous vector representations of words from very large data sets. The quality of these representations is measured in a word similarity task, and the results are compared to the previously best performing techniques based on different types of neural networks. We observe large improvements in accuracy at much lower computational cost, i.e. it takes less than a day to learn high quality word vectors from a 1.6 billion words data set. Furthermore, we show that these vectors provide state-of-the-art performance on our test set for measuring syntactic and semantic word similarities."
2,2013,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Ross B. Girshick, Jeff Donahue, Trevor Darrell, J. Malik",2014 IEEE Conference on Computer Vision and Pattern Recognition,2013-11-11,29088,2899,366.733,Vision and Multimodal Learning,benchmark/dataset; self-supervised,machine-learning; vision,"Object detection performance, as measured on the canonical PASCAL VOC dataset, has plateaued in the last few years.","high citation signal (29,088); influential citation signal (2,899); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/CVPR.2014.81,https://www.semanticscholar.org/paper/2f4df08d9072fc2ac181b7fced6a245315ce05c8,http://arxiv.org/pdf/1311.2524,10.1109/CVPR.2014.81,1311.2524,,215827080,Computer Science,JournalArticle; Conference,neural networks,1,citations=29088; influential=2899; recognized venue; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=2; AI term matches=6,"Object detection performance, as measured on the canonical PASCAL VOC dataset, has plateaued in the last few years. The best-performing methods are complex ensemble systems that typically combine multiple low-level image features with high-level context. In this paper, we propose a simple and scalable detection algorithm that improves mean average precision (mAP) by more than 30% relative to the previous best result on VOC 2012 -- achieving a mAP of 53.3%. Our approach combines two key insights: (1) one can apply high-capacity convolutional neural networks (CNNs) to bottom-up region proposals in order to localize and segment objects and (2) when labeled training data is scarce, supervised pre-training for an auxiliary task, followed by domain-specific fine-tuning, yields a significant performance boost. Since we combine region proposals with CNNs, we call our method R-CNN: Regions with CNN features. We also present experiments that provide insight into what the network learns, revealing a rich hierarchy of image features. Source code for the complete system is available at http://www.cs.berkeley.edu/~rbg/rcnn."
3,2013,Intriguing properties of neural networks,"Christian Szegedy, Wojciech Zaremba, I. Sutskever, Joan Bruna, D. Erhan, I. Goodfellow, R. Fergus",International Conference on Learning Representations,2013-12-20,16659,1362,331.901,Vision and Multimodal Learning,benchmark/dataset,vision,Deep neural networks are highly expressive models that have recently achieved state of the art performance on speech and visual recognition tasks.,"high citation signal (16,659); influential citation signal (1,362)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/d891dc72cbd40ffaeefdc79f2e7afe1e530a23ad,https://www.semanticscholar.org/paper/d891dc72cbd40ffaeefdc79f2e7afe1e530a23ad,,,1312.6199,,604334,Computer Science,JournalArticle,deep learning; neural networks,2,citations=16659; influential=1362; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=2; AI term matches=2; query hits=2,"Deep neural networks are highly expressive models that have recently achieved state of the art performance on speech and visual recognition tasks. While their expressiveness is the reason they succeed, it also causes them to learn uninterpretable solutions that could have counter-intuitive properties. In this paper we report two such properties. First, we find that there is no distinction between individual high level units and random linear combinations of high level units, according to various methods of unit analysis. It suggests that it is the space, rather than the individual units, that contains of the semantic information in the high layers of neural networks. Second, we find that deep neural networks learn input-output mappings that are fairly discontinuous to a significant extend. We can cause the network to misclassify an image by applying a certain imperceptible perturbation, which is found by maximizing the network's prediction error. In addition, the specific nature of these perturbations is not a random artifact of learning: the same perturbation can cause a different network, that was trained on a different subset of the dataset, to misclassify the same input."
4,2013,Playing Atari with Deep Reinforcement Learning,"Volodymyr Mnih, K. Kavukcuoglu, David Silver, Alex Graves, Ioannis Antonoglou, Daan Wierstra, Martin A. Riedmiller",arXiv.org,2013-12-19,13759,1487,320.922,Reinforcement Learning and Agents,reinforcement-learning,machine-learning; reinforcement-learning,We present the first deep learning model to successfully learn control policies directly from high-dimensional sensory input using reinforcement learning.,"high citation signal (13,759); influential citation signal (1,487)","Sample efficiency, reward misspecification, simulator bias, and safety under exploration remain persistent barriers.; Benchmark performance may not transfer to physical robots, human-facing tools, or open-ended environments.; Agentic systems need stronger evidence on reliability, recovery from errors, and long-horizon oversight.",https://www.semanticscholar.org/paper/2319a491378867c7049b3da055c5df60e1671158,https://www.semanticscholar.org/paper/2319a491378867c7049b3da055c5df60e1671158,,,1312.5602,,15238391,Computer Science,JournalArticle,deep learning; neural networks; reinforcement learning,3,citations=13759; influential=1487; open PDF metadata; title AI matches=1; AI term matches=3; query hits=3,"We present the first deep learning model to successfully learn control policies directly from high-dimensional sensory input using reinforcement learning. The model is a convolutional neural network, trained with a variant of Q-learning, whose input is raw pixels and whose output is a value function estimating future rewards. We apply our method to seven Atari 2600 games from the Arcade Learning Environment, with no adjustment of the architecture or learning algorithm. We find that it outperforms all previous approaches on six of the games and surpasses a human expert on three of them."
5,2013,Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank,"R. Socher, Alex Perelygin, Jean Wu, Jason Chuang, Christopher D. Manning, A. Ng, Christopher Potts",Conference on Empirical Methods in Natural Language Processing,2013-10-01,9491,1505,306.921,Natural Language Processing and Knowledge,metadata-ranked,machine-learning; nlp,Semantic word spaces have been very useful but cannot express the meaning of longer phrases in a principled way.,"high citation signal (9,491); influential citation signal (1,505)","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.18653/v1/d13-1170,https://www.semanticscholar.org/paper/687bac2d3320083eb4530bf18bb8f8f721477600,,10.18653/v1/d13-1170,,,990233,Computer Science,JournalArticle; Conference,neural networks,1,citations=9491; influential=1505; open PDF metadata; AI term matches=2,"Semantic word spaces have been very useful but cannot express the meaning of longer phrases in a principled way. Further progress towards understanding compositionality in tasks such as sentiment detection requires richer supervised training and evaluation resources and more powerful models of composition. To remedy this, we introduce a Sentiment Treebank. It includes fine grained sentiment labels for 215,154 phrases in the parse trees of 11,855 sentences and presents new challenges for sentiment compositionality. To address them, we introduce the Recursive Neural Tensor Network. When trained on the new treebank, this model outperforms all previous methods on several metrics. It pushes the state of the art in single sentence positive/negative classification from 80% up to 85.4%. The accuracy of predicting fine-grained sentiment labels for all phrases reaches 80.7%, an improvement of 9.7% over bag of features baselines. Lastly, it is the only model that can accurately capture the effects of negation and its scope at various tree levels for both positive and negative phrases."
6,2013,Speech recognition with deep recurrent neural networks,"Alex Graves, Abdel-rahman Mohamed, Geoffrey E. Hinton","IEEE International Conference on Acoustics, Speech, and Signal Processing",2013-03-22,9003,432,304.31,Natural Language Processing and Knowledge,benchmark/dataset,machine-learning; nlp,Recurrent neural networks (RNNs) are a powerful model for sequential data.,"high citation signal (9,003); influential citation signal (432); open-access PDF metadata","Benchmark scores can hide brittle reasoning, retrieval failures, hallucination, and domain transfer issues.; Language coverage is often uneven, with English and high-resource domains overrepresented.; Evaluation can be sensitive to annotation protocols, prompt wording, and changing model APIs.",https://doi.org/10.1109/ICASSP.2013.6638947,https://www.semanticscholar.org/paper/4177ec52d1b80ed57f2e72b0f9a42365f1a8598d,https://arxiv.org/pdf/1303.5778,10.1109/ICASSP.2013.6638947,1303.5778,,206741496,Computer Science,JournalArticle; Conference,neural networks,1,citations=9003; influential=432; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=3; AI term matches=4,"Recurrent neural networks (RNNs) are a powerful model for sequential data. End-to-end training methods such as Connectionist Temporal Classification make it possible to train RNNs for sequence labelling problems where the input-output alignment is unknown. The combination of these methods with the Long Short-term Memory RNN architecture has proved particularly fruitful, delivering state-of-the-art results in cursive handwriting recognition. However RNN performance in speech recognition has so far been disappointing, with better results returned by deep feedforward networks. This paper investigates deep recurrent neural networks, which combine the multiple levels of representation that have proved so effective in deep networks with the flexible use of long range context that empowers RNNs. When trained end-to-end with suitable regularisation, we find that deep Long Short-term Memory RNNs achieve a test set error of 17.7% on the TIMIT phoneme recognition benchmark, which to our knowledge is the best recorded score."
7,2013,Rectifier Nonlinearities Improve Neural Network Acoustic Models,Andrew L. Maas,,,7640,914,296.173,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Rectifier Nonlinearities Improve Neural Network Acoustic Models within General AI Methods and Systems.,"high citation signal (7,640); influential citation signal (914)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://www.semanticscholar.org/paper/367f2c63a6f6a10b3b64b8729d601e69337ee3cc,https://www.semanticscholar.org/paper/367f2c63a6f6a10b3b64b8729d601e69337ee3cc,,,,,16489696,Computer Science,,neural networks,1,citations=7640; influential=914; open PDF metadata; title AI matches=1; AI term matches=1,
8,2013,Support vector machine,William Stafford Noble,,2013-12-11,7117,452,284.771,General AI Methods and Systems,metadata-ranked,machine-learning,Positions Support vector machine within General AI Methods and Systems.,"high citation signal (7,117); influential citation signal (452)","Survey and infrastructure papers can dominate citations while empirical evidence remains distributed across subfields.; Broad claims need careful mapping to specific tasks, datasets, and operational constraints.; Metadata-driven ranking cannot replace expert reading of full papers and experimental details.",https://doi.org/10.1007/springerreference_63661,https://www.semanticscholar.org/paper/387f2f03fc18cb80f6dd118d41754cbbb2520bee,,10.1007/springerreference_63661,,,6589884,Computer Science,,support vector machines,1,citations=7117; influential=452; open PDF metadata; title AI matches=1; AI term matches=1,
9,2013,Network In Network,"Min Lin, Qiang Chen, Shuicheng Yan",International Conference on Learning Representations,2013-12-16,6717,591,287.245,Foundation Models and Large Language Models,metadata-ranked,machine-learning,"We propose a novel deep network structure called ""Network In Network"" (NIN) to enhance model discriminability for local patches within the receptive field.","high citation signal (6,717); influential citation signal (591)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/5e83ab70d0cbc003471e87ec306d27d9c80ecb16,https://www.semanticscholar.org/paper/5e83ab70d0cbc003471e87ec306d27d9c80ecb16,,,1312.4400,,16636683,Computer Science,JournalArticle,neural networks,1,citations=6717; influential=591; open PDF metadata; AI term matches=3,"We propose a novel deep network structure called ""Network In Network"" (NIN) to enhance model discriminability for local patches within the receptive field. The conventional convolutional layer uses linear filters followed by a nonlinear activation function to scan the input. Instead, we build micro neural networks with more complex structures to abstract the data within the receptive field. We instantiate the micro neural network with a multilayer perceptron, which is a potent function approximator. The feature maps are obtained by sliding the micro networks over the input in a similar manner as CNN; they are then fed into the next layer. Deep NIN can be implemented by stacking mutiple of the above described structure. With enhanced local modeling via the micro network, we are able to utilize global average pooling over feature maps in the classification layer, which is easier to interpret and less prone to overfitting than traditional fully connected layers. We demonstrated the state-of-the-art classification performances with NIN on CIFAR-10 and CIFAR-100, and reasonable performances on SVHN and MNIST datasets."
10,2013,Spectral Networks and Locally Connected Networks on Graphs,"Joan Bruna, Wojciech Zaremba, Arthur Szlam, Yann LeCun",International Conference on Learning Representations,2013-12-20,5380,326,276.053,Vision and Multimodal Learning,metadata-ranked,machine-learning; nlp; vision,"Convolutional Neural Networks are extremely efficient architectures in image and audio recognition tasks, thanks to their ability to exploit the local translational invariance of signal classes over their domain.","high citation signal (5,380); influential citation signal (326)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/5e925a9f1e20df61d1e860a7aa71894b35a1c186,https://www.semanticscholar.org/paper/5e925a9f1e20df61d1e860a7aa71894b35a1c186,,,1312.6203,,17682909,Computer Science; Mathematics,JournalArticle,graph neural networks; neural networks,2,citations=5380; influential=326; open PDF metadata; AI term matches=3; query hits=2,"Convolutional Neural Networks are extremely efficient architectures in image and audio recognition tasks, thanks to their ability to exploit the local translational invariance of signal classes over their domain. In this paper we consider possible generalizations of CNNs to signals defined on more general domains without the action of a translation group. In particular, we propose two constructions, one based upon a hierarchical clustering of the domain, and another based on the spectrum of the graph Laplacian. We show through experiments that for low-dimensional graphs it is possible to learn convolutional layers with a number of parameters independent of the input size, resulting in efficient deep architectures."
