category,taxonomyRank,rank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,categoryOverview,categoryLimitations,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy,sourceQueries,importanceReasons
"AI for Science, Healthcare, and Robotics",1,4,2,2021,Highly accurate protein structure prediction with AlphaFold,"J. Jumper, Richard Evans, A. Pritzel, Tim Green, Michael Figurnov, O. Ronneberger, Kathryn Tunyasuvunakool, Russ Bates, et al.",Nature,2021-07-15,36697,3767,362.511,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",ai4science,ai4science,"Proteins are essential to life, and understanding their structure can facilitate a mechanistic understanding of their function.","high citation signal (36,697); influential citation signal (3,767); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1038/s41586-021-03819-2,https://www.semanticscholar.org/paper/dc32a984b651256a8ec282be52310e6bd33d9815,https://www.nature.com/articles/s41586-021-03819-2.pdf,10.1038/s41586-021-03819-2,,34265844,Biology; Computer Science; Materials Science; Medicine,deep learning; machine learning,citations=36697; influential=3767; recognized venue; open PDF metadata; AI term matches=3; query hits=2
"AI for Science, Healthcare, and Robotics",2,21,5,2020,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,"Fabian Isensee, P. Jaeger, Simon A. A. Kohl, Jens Petersen, Klaus Hermann Maier-Hein",Nature Methods,2020-12-07,9048,859,309.026,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",metadata-ranked,vision; ai4science,"Positions nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation within AI for Science, Healthcare, and Robotics.","high citation signal (9,048); influential citation signal (859); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1038/s41592-020-01008-z,https://www.semanticscholar.org/paper/f28e387d4229c5f690ce4570a391c0f47e7155c7,https://arxiv.org/pdf/1904.08128,10.1038/s41592-020-01008-z,,33288961,Computer Science; Medicine,deep learning,citations=9048; influential=859; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1
"AI for Science, Healthcare, and Robotics",3,28,7,2020,From Local Explanations to Global Understanding with Explainable AI for Trees,"Scott M. Lundberg, Gabriel Erion-Barner, Hugh Chen, A. DeGrave, J. Prutkin, Bala G. Nair, R. Katz, J. Himmelfarb, et al.",Nature Machine Intelligence,2020-01-01,7955,474,304.883,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",transformer; trustworthy-ai; ai4science,trustworthy-ai; ai4science,"Tree-based machine learning models such as random forests, decision trees and gradient boosted trees are popular nonlinear predictive models, yet comparatively little attention has been paid to explaining their predictions.","high citation signal (7,955); influential citation signal (474); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1038/s42256-019-0138-9,https://www.semanticscholar.org/paper/81600fd653a828d69f6160705be6814dd101beb7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7326367,10.1038/s42256-019-0138-9,,32607472,Computer Science; Mathematics; Medicine,machine learning,citations=7955; influential=474; recognized venue; translation/trustworthiness signal; open PDF metadata; title AI matches=2; AI term matches=3
"AI for Science, Healthcare, and Robotics",4,36,10,2021,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions","Laith Alzubaidi, Jinglan Zhang, A. Humaidi, Ayad Al-dujaili, Y. Duan, O. Al-Shamma, José I. Santamaría, M. Fadhel, et al.",Journal of Big Data,2021-03-31,6602,207,286.222,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",survey/review; benchmark/dataset; ai4science,nlp; reinforcement-learning; ai4science,"In the last few years, the deep learning (DL) computing paradigm has been deemed the Gold Standard in the machine learning (ML) community.","high citation signal (6,602); influential citation signal (207); open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1186/s40537-021-00444-8,https://www.semanticscholar.org/paper/0084f3cb0a1754272151c5268a783f24bf5676a0,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-021-00444-8,10.1186/s40537-021-00444-8,,33816053,Computer Science; Medicine,deep learning; machine learning; natural language processing,citations=6602; influential=207; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=4; query hits=3
"AI for Science, Healthcare, and Robotics",5,49,15,2021,Swin-Unet: Unet-like Pure Transformer for Medical Image Segmentation,"Hu Cao, Yueyue Wang, Jieneng Chen, Dongsheng Jiang, Xiaopeng Zhang, Qi Tian, Manning Wang",ECCV Workshops,2021-05-12,5179,498,290.133,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",transformer; ai4science,vision; ai4science,"In the past few years, convolutional neural networks (CNNs) have achieved milestones in medical image analysis.","high citation signal (5,179); influential citation signal (498); recognized venue","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1007/978-3-031-25066-8_9,https://www.semanticscholar.org/paper/ea7cfe7f2340584cbe653da6077ee7c213e49b92,,10.1007/978-3-031-25066-8_9,2105.05537,,Computer Science; Engineering; Medicine,deep learning,citations=5179; influential=498; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2
"AI for Science, Healthcare, and Robotics",6,60,18,2021,"Machine Learning: Algorithms, Real-World Applications and Research Directions",Iqbal H. Sarker,SN Computer Science,2021-03-08,4424,166,281.342,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",ai4science; reinforcement-learning,reinforcement-learning; ai4science,"In the current age of the Fourth Industrial Revolution (4IR or Industry 4.0), the digital world has a wealth of data, such as Internet of Things (IoT) data, cybersecurity data, mobile data, business data, social media data, health data, etc.","high citation signal (4,424); influential citation signal (166); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1007/s42979-021-00592-x,https://www.semanticscholar.org/paper/7872f34e2a164c5cf3c34a7a7433dc3342b6c7ea,https://link.springer.com/content/pdf/10.1007/s42979-021-00592-x.pdf,10.1007/s42979-021-00592-x,,33778771,Computer Science; Engineering; Medicine,artificial intelligence; deep learning; machine learning; reinforcement learning,citations=4424; influential=166; recognized venue; translation/trustworthiness signal; open PDF metadata; title AI matches=1; AI term matches=5; query hits=4
"AI for Science, Healthcare, and Robotics",7,80,12,2020,Image Segmentation Using Deep Learning: A Survey,"Shervin Minaee, Yuri Boykov, F. Porikli, A. Plaza, N. Kehtarnavaz, Demetri Terzopoulos",IEEE Transactions on Pattern Analysis and Machine Intelligence,2020-01-15,3751,94,269.815,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",survey/review; transformer; generative; ai4science,generative-ai; vision; trustworthy-ai; ai4science,"n computer vision and image processing with important applications such as scene understanding, medical image analysis, robotic perception, video surveillance, augmented reality, and image compression, among others, and numerous segmentation algorithms are found in the literature.","high citation signal (3,751); influential citation signal (94); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1109/TPAMI.2021.3059968,https://www.semanticscholar.org/paper/c7bbeaef75fa64c7e9cdf1b68bb487b9f8cd9a7d,https://arxiv.org/pdf/2001.05566,10.1109/TPAMI.2021.3059968,2001.05566,33596172,Computer Science; Medicine,computer vision; deep learning,citations=3751; influential=94; recognized venue; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=5; query hits=2
"AI for Science, Healthcare, and Robotics",8,98,27,2021,Accurate prediction of protein structures and interactions using a 3-track neural network,"B. M, D. f, A. I, D. J, O. S, Lee Gr, W. J, C. Q., et al.",Science,2021-07-15,3327,146,263.289,"Applied AI for science and healthcare is shifting from proof-of-concept prediction toward validated workflows for biology, medicine, molecules, and robotics. The most visible work couples domain data with deep learning architectures that can transfer into laboratory, clinical, or embodied settings. Evaluation increasingly needs external validation, prospective testing, reproducible datasets, and domain-specific safety constraints.","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores. Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions. Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",ai4science,ai4science,"Deep learning takes on protein folding In 1972, Anfinsen won a Nobel prize for demonstrating a connection between a protein's amino acid sequence and its three-dimensional structure.","high citation signal (3,327); influential citation signal (146); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1126/science.abj8754,https://www.semanticscholar.org/paper/3cf5f512b30187efa088b9ee6c4e9d8fa7f937ce,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7612213,10.1126/science.abj8754,,34282049,Biology; Computer Science; Medicine,deep learning,citations=3327; influential=146; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2
Foundation Models and Large Language Models,1,2,2,2020,Language Models are Few-Shot Learners,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, J. Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, et al.",Neural Information Processing Systems,2020-05-28,59605,5279,372.905,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer; self-supervised,foundation-models; nlp,Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by fine-tuning on a specific task.,"high citation signal (59,605); influential citation signal (5,279)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/90abbc2cf38462b954ae1b772fac9532e2ccd8b0,https://www.semanticscholar.org/paper/90abbc2cf38462b954ae1b772fac9532e2ccd8b0,,,2005.14165,,Computer Science; Linguistics,large language models,citations=59605; influential=5279; resource signal; open PDF metadata; title AI matches=2; AI term matches=3
Foundation Models and Large Language Models,2,6,1,2022,Training language models to follow instructions with human feedback,"Long Ouyang, Jeff Wu, Xu Jiang, Diogo Almeida, Carroll L. Wainwright, Pamela Mishkin, Chong Zhang, S. Agarwal, et al.",Neural Information Processing Systems,2022-03-04,21755,2276,345.957,"The main trend is a shift from task-specific NLP systems toward general-purpose foundation models that transfer across tasks through prompting, retrieval, and instruction tuning. Scaling laws, retrieval augmentation, alignment, and data governance are now central design axes rather than afterthoughts. Citation-ranked work tends to emphasize architectures, pretraining corpora, benchmark behavior, and broad capability evaluation.","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity. Alignment and safety claims often need stronger real-world and multilingual validation. Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",benchmark/dataset; transformer; reinforcement-learning,foundation-models; nlp; reinforcement-learning,Making language models bigger does not inherently make them better at following a user's intent.,"high citation signal (21,755); influential citation signal (2,276)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.52202/068431-2011,https://www.semanticscholar.org/paper/d766bffc357127e0dc86dd69561d5aeb520d6f4c,,10.52202/068431-2011,2203.02155,,Computer Science,large language models; reinforcement learning,citations=21755; influential=2276; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=5; query hits=2
